
=== 決定的要素カバー率（[N]/[E] の必須要素のみ。judge非依存）run=k24 ===
  Q01 C1 0/6 = 0.00
  Q02 C1 2/4 = 0.50
  Q03 C1 7/7 = 1.00
  Q04 C1 3/4 = 0.75
  Q05 C2 2/4 = 0.50
  Q06 C2 4/4 = 1.00
  Q07 C2 2/6 = 0.33
  Q08 C2 3/5 = 0.60
  Q09 C2 2/4 = 0.50
  Q10 C3 1/3 = 0.33
  Q11 C3 4/4 = 1.00
  Q12 C3 0/4 = 0.00
  Q13 C4 3/5 = 0.60
  Q15 C4 3/4 = 0.75
  Q16 C5 1/3 = 0.33
  Q17 C5 3/3 = 1.00 ★HALLUCINATION
  Q19 C6 0/1 = 0.00 ★HALLUCINATION
  Q20 C6 1/1 = 1.00
  Q021 C2 4/4 = 1.00
  Q022 C2 3/4 = 0.75
  Q023 C2 2/3 = 0.67
  Q024 C2 3/3 = 1.00
  Q025 C2 5/5 = 1.00
  Q026 C2 4/4 = 1.00
  Q027 C2 5/5 = 1.00
  Q028 C2 2/5 = 0.40
  Q029 C2 5/5 = 1.00
  Q030 C2 4/4 = 1.00
  Q031 C2 1/3 = 0.33
  Q032 C2 0/5 = 0.00
  Q033 C2 4/4 = 1.00
  Q034 C2 3/3 = 1.00
  Q035 C2 2/3 = 0.67
  Q036 C2 2/3 = 0.67
  Q037 C2 1/1 = 1.00
  Q038 C2 4/4 = 1.00 ★HALLUCINATION
  Q039 C2 4/5 = 0.80
  Q040 C2 3/3 = 1.00
  Q041 C2 0/5 = 0.00
  Q042 C2 3/4 = 0.75
  Q043 C2 2/2 = 1.00
  Q044 C2 3/5 = 0.60
  Q045 C2 1/2 = 0.50
  Q046 C2 5/5 = 1.00
  Q047 C2 3/3 = 1.00
  Q048 C2 4/4 = 1.00
  Q049 C2 3/3 = 1.00
  Q050 C2 4/5 = 0.80 ★HALLUCINATION
  Q051 C2 2/3 = 0.67
  Q052 C2 2/4 = 0.50
  Q053 C2 2/3 = 0.67
  Q054 C2 5/5 = 1.00
  Q055 C2 4/4 = 1.00
  Q056 C2 4/4 = 1.00
  Q057 C2 5/5 = 1.00
  Q058 C2 0/2 = 0.00
  Q059 C2 2/3 = 0.67
  Q060 C2 4/5 = 0.80
  Q061 C2 3/3 = 1.00
  Q062 C2 1/5 = 0.20
  Q063 C2 1/2 = 0.50
  Q064 C2 5/5 = 1.00
  Q065 C3 0/5 = 0.00
  Q066 C3 3/5 = 0.60
  Q067 C3 3/3 = 1.00
  Q068 C3 2/4 = 0.50
  Q069 C3 5/5 = 1.00
  Q070 C3 5/5 = 1.00
  Q071 C3 0/4 = 0.00
  Q072 C3 2/4 = 0.50
  Q073 C3 4/4 = 1.00
  Q074 C3 4/4 = 1.00
  Q075 C3 3/5 = 0.60
  Q076 C3 4/4 = 1.00
  Q077 C3 5/5 = 1.00
  Q078 C3 5/5 = 1.00
  Q079 C3 5/5 = 1.00 ★HALLUCINATION
  Q080 C3 2/4 = 0.50
  Q081 C3 2/5 = 0.40
  Q082 C3 0/2 = 0.00
  Q083 C3 0/3 = 0.00
  Q084 C3 2/6 = 0.33
  Q085 C3 3/5 = 0.60
  Q086 C3 4/5 = 0.80
  Q087 C3 3/5 = 0.60
  Q088 C3 3/5 = 0.60
  Q089 C3 0/2 = 0.00
  Q090 C3 4/5 = 0.80
  Q091 C3 4/4 = 1.00
  Q092 C3 4/4 = 1.00 ★HALLUCINATION
  Q093 C3 4/5 = 0.80
  Q094 C1 3/4 = 0.75
  Q095 C1 5/5 = 1.00
  Q096 C1 6/6 = 1.00
  Q097 C1 8/8 = 1.00
  Q098 C1 4/5 = 0.80
  Q099 C1 7/7 = 1.00
  Q100 C1 4/5 = 0.80
  Q101 C1 7/7 = 1.00
  Q102 C1 4/5 = 0.80
  Q103 C1 3/6 = 0.50
  Q104 C1 0/4 = 0.00
  Q105 C1 0/6 = 0.00
  Q106 C1 0/6 = 0.00
  Q107 C1 6/7 = 0.86
  Q108 C1 1/6 = 0.17
  Q109 C1 3/4 = 0.75
  Q110 C1 6/6 = 1.00
  Q111 C1 5/6 = 0.83
  Q112 C1 3/6 = 0.50
  Q113 C1 1/6 = 0.17
  Q114 C4 4/4 = 1.00
